팀명,경기날짜,결과,이름,공격종합_성공률,오픈_성공률,시간차_성공률,이동_성공률,후위_성공률,속공_성공률,퀵오픈_성공률,서브_성공률,범실_범실,포지션,득점점유율,스타팅멤버
GS칼텍스,2021-10-16,1,모마,42.22,50.0,50.0,0.0,30.77,0.0,0.0,0.33,3,R,0.3508771929824561,1
GS칼텍스,2021-10-16,1,강소휘,44.0,46.67,0.0,0.0,0.0,0.0,57.14,0.33,3,L,0.22807017543859648,1
GS칼텍스,2021-10-16,1,유서연,44.44,46.15,0.0,0.0,0.0,0.0,46.15,0.0,4,L,0.21052631578947367,1
GS칼텍스,2021-10-16,1,한수지,80.0,100.0,0.0,0.0,0.0,75.0,0.0,0.33,1,C,0.14035087719298245,1
GS칼텍스,2021-10-16,1,김유리,40.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,2,C,0.03508771929824561,0
GS칼텍스,2021-10-16,1,안혜진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,2,S,0.03508771929824561,1
GS칼텍스,2021-10-16,1,한다혜,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
GS칼텍스,2021-10-16,1,한수진,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
흥국생명,2021-10-16,0,캣벨,35.42,30.0,50.0,0.0,33.33,0.0,57.14,0.67,7,R,0.42857142857142855,1
흥국생명,2021-10-16,0,김미연,38.1,36.36,0.0,0.0,0.0,0.0,57.14,0.33,2,L,0.1836734693877551,1
흥국생명,2021-10-16,0,이주아,50.0,33.33,0.0,33.33,0.0,100.0,0.0,0.0,1,C,0.14285714285714285,1
흥국생명,2021-10-16,0,김다은,35.71,50.0,0.0,0.0,50.0,0.0,25.0,0.0,1,R,0.12244897959183673,0
흥국생명,2021-10-16,0,김채연,33.33,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0,C,0.061224489795918366,1
흥국생명,2021-10-16,0,박혜진,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,3,S,0.061224489795918366,1
흥국생명,2021-10-16,0,김해란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
현대건설,2021-10-17,1,야스민,54.55,63.33,0.0,0.0,48.0,0.0,45.45,0.75,10,R,0.5657894736842105,1
현대건설,2021-10-17,1,양효진,46.67,25.0,60.0,0.0,0.0,50.0,0.0,0.0,3,C,0.11842105263157894,1
현대건설,2021-10-17,1,이다현,28.57,0.0,0.0,33.33,0.0,37.5,0.0,0.0,3,C,0.11842105263157894,1
현대건설,2021-10-17,1,고예림,38.1,25.0,40.0,0.0,0.0,0.0,75.0,0.0,2,L,0.10526315789473684,1
현대건설,2021-10-17,1,황민경,23.53,12.5,33.33,0.0,0.0,0.0,33.33,0.0,2,L,0.06578947368421052,1
현대건설,2021-10-17,1,김다인,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,3,S,0.02631578947368421,1
현대건설,2021-10-17,1,김연견,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
현대건설,2021-10-17,1,김주하,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
IBK기업은행,2021-10-17,0,라셈,27.45,29.41,50.0,0.0,20.0,0.0,0.0,0.25,7,R,0.35555555555555557,1
IBK기업은행,2021-10-17,0,김수지,43.75,0.0,0.0,42.86,0.0,66.67,0.0,0.25,3,C,0.2,1
IBK기업은행,2021-10-17,0,김주향,36.84,25.0,100.0,0.0,0.0,0.0,50.0,0.0,4,L,0.15555555555555556,1
IBK기업은행,2021-10-17,0,표승주,38.89,46.67,0.0,0.0,0.0,0.0,0.0,0.0,1,L,0.15555555555555556,1
IBK기업은행,2021-10-17,0,김희진,36.36,40.0,0.0,50.0,0.0,100.0,0.0,0.0,2,C,0.1111111111111111,1
IBK기업은행,2021-10-17,0,조송화,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.022222222222222223,1
IBK기업은행,2021-10-17,0,신연경,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
IBK기업은행,2021-10-17,0,최수빈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
페퍼저축은행,2021-10-19,0,엘리자벳,36.36,34.21,0.0,0.0,35.71,0.0,66.67,0.5,7,R,0.3793103448275862,1
페퍼저축은행,2021-10-19,0,하혜진,33.33,37.5,50.0,0.0,0.0,0.0,0.0,0.25,1,R,0.1724137931034483,1
페퍼저축은행,2021-10-19,0,박경현,30.0,26.32,50.0,0.0,0.0,0.0,37.5,0.0,8,L,0.15517241379310345,1
페퍼저축은행,2021-10-19,0,이한비,30.0,21.43,0.0,0.0,100.0,0.0,50.0,0.25,2,L,0.1206896551724138,1
페퍼저축은행,2021-10-19,0,최가은,38.46,66.67,100.0,25.0,0.0,20.0,0.0,0.25,2,C,0.1206896551724138,1
페퍼저축은행,2021-10-19,0,이현,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,2,S,0.017241379310344827,1
페퍼저축은행,2021-10-19,0,구솔,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,S,0.017241379310344827,0
페퍼저축은행,2021-10-19,0,이은지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1,R,0.017241379310344827,0
KGC인삼공사,2021-10-19,1,이소영,40.0,17.65,57.14,0.0,0.0,0.0,55.0,0.0,4,L,0.328125,1
KGC인삼공사,2021-10-19,1,옐레나,34.0,30.0,0.0,0.0,33.33,0.0,45.45,0.25,6,R,0.296875,1
KGC인삼공사,2021-10-19,1,한송이,43.75,37.5,0.0,100.0,0.0,33.33,0.0,0.25,1,C,0.125,1
KGC인삼공사,2021-10-19,1,정호영,50.0,60.0,0.0,0.0,0.0,40.0,0.0,0.0,1,C,0.109375,0
KGC인삼공사,2021-10-19,1,박혜민,40.0,0.0,100.0,0.0,0.0,0.0,50.0,0.25,3,L,0.09375,1
KGC인삼공사,2021-10-19,1,고의정,20.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3,L,0.03125,0
KGC인삼공사,2021-10-19,1,염혜선,33.33,33.33,0.0,0.0,0.0,0.0,0.0,0.0,3,S,0.015625,1
KGC인삼공사,2021-10-19,1,노란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Li,0.0,0
한국도로공사,2021-10-20,0,켈시,35.71,20.69,0.0,0.0,66.67,0.0,100.0,0.0,2,R,0.36363636363636365,1
한국도로공사,2021-10-20,0,박정아,22.22,18.18,100.0,0.0,0.0,0.0,37.5,0.0,3,L,0.18181818181818182,1
한국도로공사,2021-10-20,0,정대영,71.43,66.67,0.0,75.0,0.0,0.0,0.0,0.0,1,C,0.1590909090909091,1
한국도로공사,2021-10-20,0,배유나,37.5,0.0,0.0,50.0,0.0,40.0,0.0,0.33,1,C,0.13636363636363635,1
한국도로공사,2021-10-20,0,전새얀,33.33,41.67,0.0,0.0,0.0,0.0,0.0,0.0,3,L,0.11363636363636363,0
한국도로공사,2021-10-20,0,문정원,20.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,1,R,0.022727272727272728,0
한국도로공사,2021-10-20,0,이고은,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.022727272727272728,0
한국도로공사,2021-10-20,0,우수민,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,L,0.0,0
한국도로공사,2021-10-20,0,이윤정,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,S,0.0,0
한국도로공사,2021-10-20,0,임명옥,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Li,0.0,0
현대건설,2021-10-20,1,야스민,44.74,31.58,0.0,0.0,64.29,0.0,40.0,0.33,5,R,0.29508196721311475,1
